,Date,Procedure,n_Procedure,Temperature,EventTarget,day
238,2/28/2016,B,0,33,0,6
241,2/29/2016,B,0,23,0,0
244,3/1/2016,B,5,26,0,1
247,3/2/2016,B,2,27,0,2
250,3/3/2016,B,0,28,0,3
253,3/4/2016,B,3,23,0,4
256,3/5/2016,B,3,25,2,5
259,3/6/2016,B,5,32,2,6
262,3/7/2016,B,2,26,2,0
265,3/8/2016,B,4,27,0,1
268,3/9/2016,B,2,24,2,2
271,3/10/2016,B,0,27,2,3
274,3/11/2016,B,4,23,2,4
277,3/12/2016,B,5,33,2,5
280,3/13/2016,B,1,34,2,6
283,3/14/2016,B,7,31,1,0
286,3/15/2016,B,3,26,0,1
289,3/16/2016,B,4,31,2,2
292,3/17/2016,B,1,29,2,3
295,3/18/2016,B,7,24,2,4
298,3/19/2016,B,3,26,0,5
301,3/20/2016,B,0,23,0,6
304,3/21/2016,B,3,30,0,0
307,3/22/2016,B,0,29,0,1
310,3/23/2016,B,4,27,0,2
313,3/24/2016,B,3,22,2,3
316,3/25/2016,B,4,27,2,4
319,3/26/2016,B,1,32,2,5
322,3/27/2016,B,6,34,0,6
325,3/28/2016,B,3,36,0,0
328,3/29/2016,B,1,38,0,1
331,3/30/2016,B,1,36,0,2
334,3/31/2016,B,4,24,2,3
337,4/1/2016,B,1,20,2,4
340,4/2/2016,B,2,22,2,5
343,4/3/2016,B,1,21,0,6
346,4/4/2016,B,2,21,0,0
349,4/5/2016,B,4,27,0,1
352,4/6/2016,B,0,33,2,2
355,4/7/2016,B,3,27,2,3
358,4/8/2016,B,4,27,2,4
361,4/9/2016,B,1,26,1,5
364,4/10/2016,B,5,26,1,6
367,4/11/2016,B,2,35,1,0
370,4/12/2016,B,3,38,0,1
373,4/13/2016,B,2,27,2,2
376,4/14/2016,B,2,34,2,3
379,4/15/2016,B,4,34,0,4
382,4/16/2016,B,3,31,0,5
385,4/17/2016,B,1,28,0,6
388,4/18/2016,B,1,26,0,0
391,4/19/2016,B,5,26,2,1
394,4/20/2016,B,0,32,2,2
397,4/21/2016,B,2,32,2,3
400,4/22/2016,B,1,26,2,4
403,4/23/2016,B,3,34,0,5
406,4/24/2016,B,1,28,1,6
409,4/25/2016,B,4,35,1,0
412,4/26/2016,B,3,37,1,1
415,4/27/2016,B,4,28,0,2
418,4/28/2016,B,4,42,0,3
421,4/29/2016,B,3,33,0,4
424,4/30/2016,B,0,30,2,5
427,5/1/2016,B,3,31,2,6
430,5/2/2016,B,4,32,2,0
433,5/3/2016,B,2,36,0,1
436,5/4/2016,B,3,32,0,2
439,5/5/2016,B,2,39,0,3
442,5/6/2016,B,1,44,0,4
445,5/7/2016,B,4,43,0,5
448,5/8/2016,B,5,39,0,6
451,5/9/2016,B,0,39,0,0
454,5/10/2016,B,4,32,0,1
457,5/11/2016,B,4,33,0,2
460,5/12/2016,B,0,42,0,3
463,5/13/2016,B,1,35,0,4
466,5/14/2016,B,2,31,0,5
469,5/15/2016,B,5,35,0,6
472,5/16/2016,B,2,41,0,0
475,5/17/2016,B,3,44,0,1
478,5/18/2016,B,0,34,0,2
481,5/19/2016,B,4,44,0,3
484,5/20/2016,B,2,42,0,4
487,5/21/2016,B,2,37,0,5
490,5/22/2016,B,4,36,0,6
493,5/23/2016,B,5,36,0,0
496,5/24/2016,B,5,34,1,1
499,5/25/2016,B,5,37,1,2
502,5/26/2016,B,3,34,1,3
505,5/27/2016,B,1,34,0,4
508,5/28/2016,B,1,31,0,5
511,5/29/2016,B,3,40,0,6
514,5/30/2016,B,0,42,0,0
517,5/31/2016,B,5,40,2,1
520,6/1/2016,B,4,32,2,2
523,6/2/2016,B,1,33,2,3
526,6/3/2016,B,2,36,2,4
529,6/4/2016,B,2,30,2,5
532,6/5/2016,B,2,40,2,6
535,6/6/2016,B,5,43,0,0
538,6/7/2016,B,4,43,1,1
541,6/8/2016,B,2,41,1,2
544,6/9/2016,B,3,39,1,3
547,6/10/2016,B,1,42,2,4
550,6/11/2016,B,3,46,2,5
553,6/12/2016,B,2,42,0,6
556,6/13/2016,B,4,39,0,0
559,6/14/2016,B,1,31,0,1
562,6/15/2016,B,2,37,0,2
565,6/16/2016,B,3,32,0,3
568,6/17/2016,B,6,32,1,4
571,6/18/2016,B,7,43,1,5
574,6/19/2016,B,3,45,1,6
577,6/20/2016,B,3,42,1,0
580,6/21/2016,B,5,34,0,1
583,6/22/2016,B,2,44,2,2
586,6/23/2016,B,1,35,2,3
589,6/24/2016,B,6,36,2,4
592,6/25/2016,B,4,35,0,5
595,6/26/2016,B,4,47,0,6
598,6/27/2016,B,2,45,0,0
601,6/28/2016,B,5,41,0,1
604,6/29/2016,B,1,35,0,2
607,6/30/2016,B,6,45,0,3
610,7/1/2016,B,6,41,0,4
613,7/2/2016,B,0,40,0,5
616,7/3/2016,B,3,44,0,6
619,7/4/2016,B,3,35,0,0
622,7/5/2016,B,4,42,0,1
625,7/6/2016,B,2,42,0,2
628,7/7/2016,B,1,35,0,3
631,7/8/2016,B,2,42,0,4
634,7/9/2016,B,5,41,0,5
637,7/10/2016,B,4,41,0,6
640,7/11/2016,B,2,33,0,0
643,7/12/2016,B,2,34,0,1
646,7/13/2016,B,1,38,0,2
649,7/14/2016,B,2,41,0,3
652,7/15/2016,B,3,36,0,4
655,7/16/2016,B,3,43,0,5
658,7/17/2016,B,3,39,2,6
661,7/18/2016,B,4,41,2,0
664,7/19/2016,B,4,40,2,1
667,7/20/2016,B,2,44,2,2
670,7/21/2016,B,3,39,0,3
673,7/22/2016,B,2,36,0,4
676,7/23/2016,B,1,47,0,5
679,7/24/2016,B,2,48,0,6
682,7/25/2016,B,2,45,0,0
685,7/26/2016,B,1,36,0,1
688,7/27/2016,B,5,42,0,2
691,7/28/2016,B,3,34,0,3
694,7/29/2016,B,2,42,0,4
697,7/30/2016,B,3,42,0,5
700,7/31/2016,B,1,46,0,6
703,8/1/2016,B,7,43,0,0
706,8/2/2016,B,0,42,0,1
709,8/3/2016,B,4,43,0,2
712,8/4/2016,B,2,46,0,3
715,8/5/2016,B,3,47,0,4
718,8/6/2016,B,3,44,0,5
721,8/7/2016,B,1,45,0,6
724,8/8/2016,B,4,38,0,0
727,8/9/2016,B,0,45,0,1
730,8/10/2016,B,8,45,0,2
733,8/11/2016,B,0,47,0,3
736,8/12/2016,B,2,39,0,4
739,8/13/2016,B,5,38,0,5
742,8/14/2016,B,2,35,0,6
745,8/15/2016,B,1,48,0,0
748,8/16/2016,B,2,34,0,1
751,8/17/2016,B,0,39,2,2
754,8/18/2016,B,1,45,2,3
757,8/19/2016,B,2,44,2,4
760,8/20/2016,B,2,41,2,5
763,8/21/2016,B,0,44,0,6
766,8/22/2016,B,4,47,0,0
769,8/23/2016,B,1,47,0,1
772,8/24/2016,B,2,46,0,2
775,8/25/2016,B,2,46,0,3
778,8/26/2016,B,3,45,0,4
781,8/27/2016,B,4,44,0,5
784,8/28/2016,B,1,44,0,6
787,8/29/2016,B,5,46,0,0
790,8/30/2016,B,3,34,0,1
793,8/31/2016,B,0,33,0,2
796,9/1/2016,B,3,42,0,3
799,9/2/2016,B,4,43,0,4
802,9/3/2016,B,2,46,0,5
805,9/4/2016,B,4,45,0,6
808,9/5/2016,B,5,34,0,0
811,9/6/2016,B,2,35,0,1
814,9/7/2016,B,2,43,2,2
817,9/8/2016,B,3,41,2,3
820,9/9/2016,B,2,40,2,4
823,9/10/2016,B,5,42,0,5
826,9/11/2016,B,1,41,0,6
829,9/12/2016,B,1,39,0,0
832,9/13/2016,B,5,41,0,1
835,9/14/2016,B,1,34,2,2
838,9/15/2016,B,2,40,2,3
841,9/16/2016,B,3,40,2,4
844,9/17/2016,B,1,41,0,5
847,9/18/2016,B,2,42,0,6
850,9/19/2016,B,1,42,0,0
853,9/20/2016,B,5,41,0,1
856,9/21/2016,B,2,37,0,2
859,9/22/2016,B,2,32,0,3
862,9/23/2016,B,2,40,0,4
865,9/24/2016,B,2,37,0,5
868,9/25/2016,B,0,37,0,6
871,9/26/2016,B,3,38,0,0
874,9/27/2016,B,7,40,0,1
877,9/28/2016,B,1,32,0,2
880,9/29/2016,B,0,38,0,3
883,9/30/2016,B,5,36,0,4
886,10/1/2016,B,2,35,0,5
889,10/2/2016,B,0,31,0,6
892,10/3/2016,B,0,33,0,0
895,10/4/2016,B,5,31,0,1
898,10/5/2016,B,1,30,0,2
901,10/6/2016,B,5,34,1,3
904,10/7/2016,B,4,34,1,4
907,10/8/2016,B,5,31,1,5
910,10/9/2016,B,5,37,1,6
913,10/10/2016,B,1,31,1,0
916,10/11/2016,B,2,30,0,1
919,10/12/2016,B,3,34,0,2
922,10/13/2016,B,5,30,0,3
925,10/14/2016,B,3,36,0,4
928,10/15/2016,B,2,34,0,5
931,10/16/2016,B,3,33,0,6
934,10/17/2016,B,3,30,0,0
937,10/18/2016,B,2,30,0,1
940,10/19/2016,B,4,37,0,2
943,10/20/2016,B,0,30,0,3
946,10/21/2016,B,2,32,0,4
949,10/22/2016,B,4,34,0,5
952,10/23/2016,B,2,34,0,6
955,10/24/2016,B,0,32,0,0
958,10/25/2016,B,3,30,0,1
961,10/26/2016,B,2,30,1,2
964,10/27/2016,B,0,37,1,3
967,10/28/2016,B,0,29,1,4
970,10/29/2016,B,3,34,1,5
973,10/30/2016,B,9,32,0,6
976,10/31/2016,B,4,34,0,0
