,Date,Procedure,n_Procedure,Temperature,EventTarget,day
218,2/21/2016,C,3,29,0,6
221,2/22/2016,C,0,33,0,0
224,2/23/2016,C,6,33,0,1
227,2/24/2016,C,3,33,2,2
230,2/25/2016,C,1,22,2,3
233,2/26/2016,C,3,26,2,4
236,2/27/2016,C,6,24,2,5
239,2/28/2016,C,2,33,0,6
242,2/29/2016,C,7,23,0,0
245,3/1/2016,C,4,26,0,1
248,3/2/2016,C,4,27,0,2
251,3/3/2016,C,6,28,0,3
254,3/4/2016,C,5,23,0,4
257,3/5/2016,C,3,25,2,5
260,3/6/2016,C,1,32,2,6
263,3/7/2016,C,6,26,2,0
266,3/8/2016,C,1,27,0,1
269,3/9/2016,C,4,24,2,2
272,3/10/2016,C,1,27,2,3
275,3/11/2016,C,0,23,2,4
278,3/12/2016,C,3,33,2,5
281,3/13/2016,C,2,34,2,6
284,3/14/2016,C,1,31,1,0
287,3/15/2016,C,4,26,0,1
290,3/16/2016,C,2,31,2,2
293,3/17/2016,C,5,29,2,3
296,3/18/2016,C,3,24,2,4
299,3/19/2016,C,1,26,0,5
302,3/20/2016,C,4,23,0,6
305,3/21/2016,C,1,30,0,0
308,3/22/2016,C,3,29,0,1
311,3/23/2016,C,4,27,0,2
314,3/24/2016,C,3,22,2,3
317,3/25/2016,C,3,27,2,4
320,3/26/2016,C,3,32,2,5
323,3/27/2016,C,3,34,0,6
326,3/28/2016,C,1,36,0,0
329,3/29/2016,C,3,38,0,1
332,3/30/2016,C,2,36,0,2
335,3/31/2016,C,2,24,2,3
338,4/1/2016,C,2,20,2,4
341,4/2/2016,C,6,22,2,5
344,4/3/2016,C,1,21,0,6
347,4/4/2016,C,4,21,0,0
350,4/5/2016,C,2,27,0,1
353,4/6/2016,C,9,33,2,2
356,4/7/2016,C,2,27,2,3
359,4/8/2016,C,4,27,2,4
362,4/9/2016,C,4,26,1,5
365,4/10/2016,C,6,26,1,6
368,4/11/2016,C,4,35,1,0
371,4/12/2016,C,1,38,0,1
374,4/13/2016,C,2,27,2,2
377,4/14/2016,C,5,34,2,3
380,4/15/2016,C,2,34,0,4
383,4/16/2016,C,2,31,0,5
386,4/17/2016,C,2,28,0,6
389,4/18/2016,C,4,26,0,0
392,4/19/2016,C,4,26,2,1
395,4/20/2016,C,4,32,2,2
398,4/21/2016,C,5,32,2,3
401,4/22/2016,C,3,26,2,4
404,4/23/2016,C,4,34,0,5
407,4/24/2016,C,1,28,1,6
410,4/25/2016,C,3,35,1,0
413,4/26/2016,C,4,37,1,1
416,4/27/2016,C,4,28,0,2
419,4/28/2016,C,3,42,0,3
422,4/29/2016,C,7,33,0,4
425,4/30/2016,C,3,30,2,5
428,5/1/2016,C,4,31,2,6
431,5/2/2016,C,2,32,2,0
434,5/3/2016,C,5,36,0,1
437,5/4/2016,C,2,32,0,2
440,5/5/2016,C,4,39,0,3
443,5/6/2016,C,3,44,0,4
446,5/7/2016,C,5,43,0,5
449,5/8/2016,C,6,39,0,6
452,5/9/2016,C,5,39,0,0
455,5/10/2016,C,3,32,0,1
458,5/11/2016,C,4,33,0,2
461,5/12/2016,C,3,42,0,3
464,5/13/2016,C,2,35,0,4
467,5/14/2016,C,3,31,0,5
470,5/15/2016,C,1,35,0,6
473,5/16/2016,C,3,41,0,0
476,5/17/2016,C,4,44,0,1
479,5/18/2016,C,6,34,0,2
482,5/19/2016,C,5,44,0,3
485,5/20/2016,C,1,42,0,4
488,5/21/2016,C,3,37,0,5
491,5/22/2016,C,4,36,0,6
494,5/23/2016,C,7,36,0,0
497,5/24/2016,C,4,34,1,1
500,5/25/2016,C,3,37,1,2
503,5/26/2016,C,2,34,1,3
506,5/27/2016,C,5,34,0,4
509,5/28/2016,C,1,31,0,5
512,5/29/2016,C,0,40,0,6
515,5/30/2016,C,5,42,0,0
518,5/31/2016,C,5,40,2,1
521,6/1/2016,C,4,32,2,2
524,6/2/2016,C,3,33,2,3
527,6/3/2016,C,6,36,2,4
530,6/4/2016,C,4,30,2,5
533,6/5/2016,C,4,40,2,6
536,6/6/2016,C,5,43,0,0
539,6/7/2016,C,3,43,1,1
542,6/8/2016,C,3,41,1,2
545,6/9/2016,C,2,39,1,3
548,6/10/2016,C,3,42,2,4
551,6/11/2016,C,8,46,2,5
554,6/12/2016,C,4,42,0,6
557,6/13/2016,C,2,39,0,0
560,6/14/2016,C,3,31,0,1
563,6/15/2016,C,4,37,0,2
566,6/16/2016,C,5,32,0,3
569,6/17/2016,C,2,32,1,4
572,6/18/2016,C,5,43,1,5
575,6/19/2016,C,5,45,1,6
578,6/20/2016,C,3,42,1,0
581,6/21/2016,C,3,34,0,1
584,6/22/2016,C,4,44,2,2
587,6/23/2016,C,3,35,2,3
590,6/24/2016,C,1,36,2,4
593,6/25/2016,C,2,35,0,5
596,6/26/2016,C,2,47,0,6
599,6/27/2016,C,3,45,0,0
602,6/28/2016,C,5,41,0,1
605,6/29/2016,C,6,35,0,2
608,6/30/2016,C,2,45,0,3
611,7/1/2016,C,4,41,0,4
614,7/2/2016,C,4,40,0,5
617,7/3/2016,C,2,44,0,6
620,7/4/2016,C,4,35,0,0
623,7/5/2016,C,3,42,0,1
626,7/6/2016,C,4,42,0,2
629,7/7/2016,C,1,35,0,3
632,7/8/2016,C,2,42,0,4
635,7/9/2016,C,1,41,0,5
638,7/10/2016,C,3,41,0,6
641,7/11/2016,C,5,33,0,0
644,7/12/2016,C,2,34,0,1
647,7/13/2016,C,2,38,0,2
650,7/14/2016,C,3,41,0,3
653,7/15/2016,C,2,36,0,4
656,7/16/2016,C,8,43,0,5
659,7/17/2016,C,3,39,2,6
662,7/18/2016,C,3,41,2,0
665,7/19/2016,C,3,40,2,1
668,7/20/2016,C,4,44,2,2
671,7/21/2016,C,5,39,0,3
674,7/22/2016,C,4,36,0,4
677,7/23/2016,C,3,47,0,5
680,7/24/2016,C,2,48,0,6
683,7/25/2016,C,2,45,0,0
686,7/26/2016,C,4,36,0,1
689,7/27/2016,C,8,42,0,2
692,7/28/2016,C,3,34,0,3
695,7/29/2016,C,1,42,0,4
698,7/30/2016,C,8,42,0,5
701,7/31/2016,C,2,46,0,6
704,8/1/2016,C,7,43,0,0
707,8/2/2016,C,4,42,0,1
710,8/3/2016,C,9,43,0,2
713,8/4/2016,C,3,46,0,3
716,8/5/2016,C,0,47,0,4
719,8/6/2016,C,4,44,0,5
722,8/7/2016,C,7,45,0,6
725,8/8/2016,C,2,38,0,0
728,8/9/2016,C,3,45,0,1
731,8/10/2016,C,0,45,0,2
734,8/11/2016,C,3,47,0,3
737,8/12/2016,C,4,39,0,4
740,8/13/2016,C,0,38,0,5
743,8/14/2016,C,1,35,0,6
746,8/15/2016,C,3,48,0,0
749,8/16/2016,C,5,34,0,1
752,8/17/2016,C,8,39,2,2
755,8/18/2016,C,2,45,2,3
758,8/19/2016,C,8,44,2,4
761,8/20/2016,C,7,41,2,5
764,8/21/2016,C,3,44,0,6
767,8/22/2016,C,2,47,0,0
770,8/23/2016,C,5,47,0,1
773,8/24/2016,C,3,46,0,2
776,8/25/2016,C,2,46,0,3
779,8/26/2016,C,1,45,0,4
782,8/27/2016,C,4,44,0,5
785,8/28/2016,C,1,44,0,6
788,8/29/2016,C,5,46,0,0
791,8/30/2016,C,3,34,0,1
794,8/31/2016,C,7,33,0,2
797,9/1/2016,C,7,42,0,3
800,9/2/2016,C,5,43,0,4
803,9/3/2016,C,4,46,0,5
806,9/4/2016,C,4,45,0,6
809,9/5/2016,C,0,34,0,0
812,9/6/2016,C,2,35,0,1
815,9/7/2016,C,2,43,2,2
818,9/8/2016,C,1,41,2,3
821,9/9/2016,C,4,40,2,4
824,9/10/2016,C,5,42,0,5
827,9/11/2016,C,3,41,0,6
830,9/12/2016,C,6,39,0,0
833,9/13/2016,C,4,41,0,1
836,9/14/2016,C,3,34,2,2
839,9/15/2016,C,3,40,2,3
842,9/16/2016,C,4,40,2,4
845,9/17/2016,C,1,41,0,5
848,9/18/2016,C,4,42,0,6
851,9/19/2016,C,4,42,0,0
854,9/20/2016,C,4,41,0,1
857,9/21/2016,C,6,37,0,2
860,9/22/2016,C,5,32,0,3
863,9/23/2016,C,5,40,0,4
866,9/24/2016,C,3,37,0,5
869,9/25/2016,C,2,37,0,6
872,9/26/2016,C,2,38,0,0
875,9/27/2016,C,3,40,0,1
878,9/28/2016,C,3,32,0,2
881,9/29/2016,C,4,38,0,3
884,9/30/2016,C,2,36,0,4
887,10/1/2016,C,1,35,0,5
890,10/2/2016,C,5,31,0,6
893,10/3/2016,C,5,33,0,0
896,10/4/2016,C,2,31,0,1
899,10/5/2016,C,4,30,0,2
902,10/6/2016,C,4,34,1,3
905,10/7/2016,C,2,34,1,4
908,10/8/2016,C,3,31,1,5
911,10/9/2016,C,1,37,1,6
914,10/10/2016,C,8,31,1,0
917,10/11/2016,C,2,30,0,1
920,10/12/2016,C,5,34,0,2
923,10/13/2016,C,3,30,0,3
926,10/14/2016,C,1,36,0,4
929,10/15/2016,C,1,34,0,5
932,10/16/2016,C,8,33,0,6
935,10/17/2016,C,5,30,0,0
938,10/18/2016,C,2,30,0,1
941,10/19/2016,C,6,37,0,2
944,10/20/2016,C,8,30,0,3
947,10/21/2016,C,2,32,0,4
950,10/22/2016,C,5,34,0,5
953,10/23/2016,C,7,34,0,6
956,10/24/2016,C,6,32,0,0
959,10/25/2016,C,5,30,0,1
962,10/26/2016,C,6,30,1,2
965,10/27/2016,C,3,37,1,3
968,10/28/2016,C,7,29,1,4
971,10/29/2016,C,3,34,1,5
974,10/30/2016,C,0,32,0,6
977,10/31/2016,C,3,34,0,0
